id,category,question,option_a,option_b,option_c,option_d,correct
34,Physiologie,Quelle est la principale source d’énergie des cellules ?,Lipides,Protéines,Glucose,Fibres,C
35,Physiologie,Que transporte la lymphe ?,Nutriments,Oxygène,Globules blancs,Hormones,C
36,Physiologie,Quel organe régule la température corporelle ?,Cerveau,Rein,Foie,Peau,D
37,Physiologie,Quel est le rôle du diaphragme ?,Pomper le sang,Digérer les aliments,Assurer la respiration,Filtrer le sang,C
38,Physiologie,Que produit l’estomac ?,Insuline,Acide chlorhydrique,Bile,Protéines digestives,B
39,Physiologie,Quel est le rôle des globules blancs ?,Transporter l’oxygène,Défendre le corps,Produire des enzymes,Transmettre les nerfs,B
40,Physiologie,Quelle enzyme est présente dans la salive ?,Pepsine,Lipase,Amylase,Trypsine,C
41,Neuro-anatomie,Quelle partie du cerveau est responsable de la coordination motrice ?,Cervelet,Tronc cérébral,Thalamus,Hypothalamus,A
42,Neuro-anatomie,Quelle structure relie les deux hémisphères cérébraux ?,Amygdale,Corps calleux,Cervelet,Tronc cérébral,B
43,Neuro-anatomie,Quel lobe du cerveau traite l'information visuelle ?,Temporal,Frontal,Pariétal,Occipital,D
44,Neuro-anatomie,Quel est le rôle de l’hypothalamus ?,Contrôle moteur,Vision,Régulation hormonale,Équilibre thermique,D
45,Neuro-anatomie,Quelle cellule est responsable de la transmission de l'influx nerveux ?,Astrocyte,Microglie,Neurone,Oligodendrocyte,C
46,Neuro-anatomie,Quel est le rôle de la moelle épinière ?,Production hormonale,Conduction nerveuse,Équilibre,Mémoire,B
47,Neuro-anatomie,Où se trouve l’aire de Broca ?,Lobe temporal,Lobe frontal,Lobe pariétal,Tronc cérébral,B
48,Neuro-anatomie,Quelle structure cérébrale contrôle l’équilibre ?,Hippocampe,Cervelet,Amygdale,Thalamus,B
49,Neuro-anatomie,Quel nerf est responsable de la vision ?,Nerf optique,Nerf vague,Nerf facial,Nerf olfactif,A
50,Neuro-anatomie,Quelle est la fonction du tronc cérébral ?,Mémoire,Vision,Régulation des fonctions vitales,Langage,C
51,Neuro-anatomie,Quelle partie du neurone reçoit les signaux ?,Axone,Nœud de Ranvier,Dendrites,Gaine de myéline,C
52,Neuro-anatomie,Quel est le rôle du nerf vague ?,Motricité du bras,Contrôle moteur du visage,Fonctions parasympathiques,Vision,C
53,Neuro-anatomie,Quelle est la fonction de l’hippocampe ?,Régulation hormonale,Mémoire,Équilibre,Sens de la douleur,B
54,Neuro-anatomie,Le nerf auditif est aussi appelé :,Nerf optique,Nerf vestibulocochléaire,Nerf glossopharyngien,Nerf hypoglosse,B
55,Neuro-anatomie,Quel nerf innerve les muscles du visage ?,Nerf facial,Nerf optique,Nerf trijumeau,Nerf accessoire,A
56,Neuro-anatomie,La gaine de myéline a pour rôle :,Bloquer les signaux,Accélérer la transmission,Créer des synapses,Détecter la douleur,B
57,Neuro-anatomie,Le cortex moteur est situé dans :,Lobe frontal,Lobe pariétal,Lobe temporal,Lobe occipital,A
58,Neuro-anatomie,Quelle structure du cerveau gère les émotions ?,Hypophyse,Cervelet,Amygdale,Tronc cérébral,C
59,Neuro-anatomie,Combien de nerfs crâniens avons-nous ?,10,11,12,13,C
60,Neuro-anatomie,Le liquide céphalorachidien est produit par :,L’hippocampe,Les ventricules cérébraux,Le cervelet,Le thalamus,B
61,Psychologie du développement et de la santé,À quel stade Piaget situe-t-on l’émergence de la pensée symbolique ?,Sensorimoteur,Préopératoire,Opérations concrètes,Opérations formelles,B
62,Psychologie du développement et de la santé,Quel besoin est à la base de la pyramide de Maslow ?,Besoins d’estime,Besoins physiologiques,Besoins sociaux,Besoins de sécurité,B
63,Psychologie du développement et de la santé,Qu’est-ce que l’attachement sécurisé chez l’enfant ?,Refus d’exploration,Dépendance excessive,Confiance en la disponibilité du parent,Détachement émotionnel,C
64,Psychologie du développement et de la santé,"Selon Erikson, quel est le premier conflit psychosocial ?",Initiative vs Culpabilité,Confiance vs Méfiance,Doute vs Honte,Identité vs Confusion,B
65,Psychologie du développement et de la santé,À quel âge commence généralement la marche autonome ?,6 mois,9 mois,12 mois,18 mois,C
66,Psychologie du développement et de la santé,Quel type d’apprentissage est basé sur la récompense ou la punition ?,Conditionnement classique,Apprentissage social,Conditionnement opérant,Imitation,C
67,Psychologie du développement et de la santé,Quel est le rôle principal de l’amygdale dans le cerveau ?,Mémoire à long terme,Émotions,Langage,Orientation spatiale,B
68,Psychologie du développement et de la santé,À quel âge l’enfant entre-t-il dans la période des opérations concrètes ?,3 ans,5 ans,7 ans,10 ans,C
69,Psychologie du développement et de la santé,Quelle émotion est considérée comme primaire ?,Empathie,Colère,Honte,Culpabilité,B
70,Psychologie du développement et de la santé,Qu’est-ce que la résilience psychologique ?,Capacité à apprendre,Capacité à éviter le stress,Capacité à rebondir après un traumatisme,Capacité à rester joyeux,C
71,Psychologie du développement et de la santé,Quel type d’attachement montre peu de détresse à la séparation et évite le contact au retour ?,Sécure,Désorganisé,Évitant,Ambivalent,C
72,Psychologie du développement et de la santé,Quelle est une caractéristique de l’adolescence selon la psychologie du développement ?,Pensée concrète,Conformisme strict,Développement de l’identité,Absence d’émotion,C
73,Psychologie du développement et de la santé,Quel facteur est protecteur face à la dépression ?,Isolement social,Stress chronique,Activité physique régulière,Consommation d’alcool excessive,C
74,Psychologie du développement et de la santé,Comment appelle-t-on la capacité de se mettre à la place de l’autre ?,Projection,Sympathie,Empathie,Imitation,C
75,Psychologie du développement et de la santé,"Selon Bowlby, l’attachement est :",Un réflexe conditionné,Un besoin secondaire,Un besoin primaire,Une stratégie d’apprentissage,C
76,Psychologie du développement et de la santé,Le développement cognitif est influencé par :,La nutrition seulement,L’environnement uniquement,L’hérédité et l’environnement,L’hérédité uniquement,C
77,Psychologie du développement et de la santé,La théorie de l’esprit apparaît vers :,1 an,2 ans,4 ans,6 ans,C
78,Psychologie du développement et de la santé,Un trouble du spectre de l’autisme affecte principalement :,La motricité fine,Le langage,Les interactions sociales,La mémoire,C
79,Psychologie du développement et de la santé,La période de latence selon Freud correspond à :,La petite enfance,L’adolescence,La période scolaire,La vieillesse,C
80,Psychologie du développement et de la santé,L’anxiété sociale est un trouble qui implique :,Un évitement des activités physiques,Une peur du jugement en société,Des hallucinations,Une perte de mémoire à court terme,B
81,Sociologie et anthropologie de la santé,Comment appelle-t-on un système de croyances expliquant la maladie dans une culture ?,Pathologie,Étiologie,Système explicatif,Diagnostic culturel,C
82,Sociologie et anthropologie de la santé,Qui a développé le concept de "violence symbolique" dans le champ de la santé ?,Durkheim,Foucault,Bourdieu,Weber,C
83,Sociologie et anthropologie de la santé,La médicalisation désigne :,La guérison spontanée,L'usage des plantes,La transformation de phénomènes sociaux en problèmes médicaux,L'accès universel aux soins,C
84,Sociologie et anthropologie de la santé,Quelle est une approche qualitative en sociologie de la santé ?,Analyse de régression,Entretien semi-directif,Échantillonnage aléatoire,Test t de Student,B
85,Sociologie et anthropologie de la santé,L’anthropologie médicale s’intéresse principalement :,À la biologie moléculaire,Aux comportements des soignants,Aux représentations culturelles de la maladie,Aux essais cliniques,C
86,Sociologie et anthropologie de la santé,Qu’est-ce que le pluralisme médical ?,L'existence d'un seul système de soin,Le recours à plusieurs types de traitement,Le refus du soin médical,Le monopole de la médecine occidentale,B
87,Sociologie et anthropologie de la santé,"Selon Foucault, le pouvoir médical repose sur :",La technologie,L’expertise clinique,La biopolitique,Le marché pharmaceutique,C
88,Sociologie et anthropologie de la santé,Quel est un exemple de facteur social influençant la santé ?,La météo,La génétique,Le niveau d'éducation,Le groupe sanguin,C
89,Sociologie et anthropologie de la santé,Les inégalités de santé sont souvent liées à :,La race uniquement,L'âge uniquement,Des déterminants sociaux multiples,Des choix personnels uniquement,C
90,Sociologie et anthropologie de la santé,La notion de "care" met l’accent sur :,L’efficacité,La technique,La relation et la sollicitude,La distance émotionnelle,C
91,Sociologie et anthropologie de la santé,Quel concept désigne le regard médical posé sur le corps ?,Naturalisation,Institutionnalisation,Médicalisation,Clinique médicale,D
92,Sociologie et anthropologie de la santé,Les déterminants sociaux de santé incluent :,Les antécédents génétiques,Les conditions de logement,Le groupe sanguin,La température extérieure,B
93,Sociologie et anthropologie de la santé,La santé publique vise principalement :,Le soin individuel,Le bien-être collectif,La recherche fondamentale,Le commerce pharmaceutique,B
94,Sociologie et anthropologie de la santé,Quel concept renvoie à l’ensemble des normes sociales autour de la santé ?,Santé objective,Normalité biologique,Représentations sociales,Épidémiologie sociale,C
95,Sociologie et anthropologie de la santé,Une approche ethnographique utilise principalement :,Des questionnaires,Des statistiques,Des observations prolongées,Des tests psychométriques,C
96,Sociologie et anthropologie de la santé,"Le stigmate, selon Goffman, concerne :",Une maladie génétique,Une déficience physique ou sociale perçue comme négative,Une infection,Une exclusion économique,B
97,Sociologie et anthropologie de la santé,Quel facteur n’est **pas** un déterminant social direct de santé ?,Revenu,Habitat,Groupe sanguin,Éducation,C
98,Sociologie et anthropologie de la santé,L’exclusion sociale affecte la santé en :,Favorisant la socialisation,Améliorant l’adhésion aux traitements,Limitation de l’accès aux soins,Renforçant la communauté locale,C
99,Sociologie et anthropologie de la santé,Les médecines traditionnelles sont souvent basées sur :,Des essais cliniques,Des croyances et des pratiques culturelles,Des normes européennes,La pharmacopée industrielle,B
100,Sociologie et anthropologie de la santé,La "santé perçue" fait référence :,À un diagnostic objectif,Au pronostic médical,À la manière dont une personne évalue sa propre santé,À un taux de guérison statistique,C
101,Pathologies courantes,Quelle est la cause principale de la maladie de Parkinson ?,Dégénérescence des neurones dopaminergiques,Excès de sérotonine,Inflammation des méninges,Déficit en GABA,A
102,Pathologies courantes,Quel est le symptôme caractéristique de la sclérose en plaques ?,Raideur articulaire,Douleur localisée,Vision double,Plaques rouges sur la peau,C
103,Pathologies courantes,Quel est un facteur de risque important de l’AVC ?,Hypercholestérolémie,Hypothyroïdie,Carence en vitamine D,Intolérance au lactose,A
104,Pathologies courantes,Quelle structure est touchée dans une entorse ?,Le tendon,Le cartilage,Le ligament,Le nerf,C
105,Pathologies courantes,Quel trouble neurologique se caractérise par des crises convulsives ?,Sclérose en plaques,Épilepsie,Alzheimer,Parkinson,B
106,Pathologies courantes,Quel est le principal symptôme de la tendinite ?,Fièvre,Douleur à l'effort,Vertiges,Engourdissement,B
107,Pathologies courantes,La fibromyalgie est associée principalement à :,Des fractures fréquentes,Des douleurs chroniques diffuses,Une inflammation aiguë,Des lésions articulaires,B
108,Pathologies courantes,Le canal carpien affecte principalement :,Le genou,Le coude,Le poignet,La cheville,C
109,Pathologies courantes,Quelle pathologie est inflammatoire ?,Tendinite,Fracture,Entorse,Luxation,A
110,Pathologies courantes,Un AVC ischémique est causé par :,Une hémorragie,Un caillot sanguin,Une infection,Une tumeur,B
111,Pathologies courantes,Quelle maladie est neurodégénérative ?,Arthrose,Polyarthrite rhumatoïde,Maladie d'Alzheimer,Ostéoporose,C
112,Pathologies courantes,Quel est un signe courant d’une hernie discale ?,Raideur cervicale,Perte de cheveux,Douleur irradiant dans un membre,Fatigue chronique,C
113,Pathologies courantes,L'arthrose est une maladie :,Infectieuse,Auto-immune,Dégénérative,Virale,C
114,Pathologies courantes,Quelle pathologie est souvent liée à la posture de travail ?,Parkinson,Sclérose latérale amyotrophique,Sciatique,Sclérose en plaques,C
115,Pathologies courantes,La paralysie faciale périphérique touche :,Les yeux,Le nerf facial,Le nerf optique,Le cervelet,B
116,Pathologies courantes,Quelle est une cause fréquente de lombalgie ?,Hernie inguinale,Hypotension,Sédentarité,Hypoxie,C
117,Pathologies courantes,La polyarthrite rhumatoïde est :,Une infection virale,Une maladie auto-immune,Une pathologie mécanique,Une tumeur osseuse,B
118,Pathologies courantes,Quelle pathologie provoque des tremblements au repos ?,Épilepsie,Parkinson,Alzheimer,Sclérose en plaques,B
119,Pathologies courantes,Quel est le traitement de première intention pour une entorse bénigne ?,Antibiotiques,Repos et glace,Chirurgie,Kinésithérapie immédiate,B
120,Pathologies courantes,Une cruralgie est une douleur irradiant dans :,Le bras,La face postérieure de la jambe,Le nerf crural,Le thorax,C
121,Bases de pharmacologie,Quel est le rôle principal du paracétamol ?,Antibiotique,Antalgique,Anti-inflammatoire,Antihypertenseur,B
122,Bases de pharmacologie,Une interaction médicamenteuse peut :,Accélérer la guérison,Altérer l’efficacité ou la sécurité d’un médicament,Améliorer la digestion,Remplacer un traitement chirurgical,B
123,Bases de pharmacologie,Que signifie "voie per os" ?,Par injection,Par la peau,Par inhalation,Par la bouche,D
124,Bases de pharmacologie,Un effet secondaire fréquent des opioïdes est :,Insomnie,Constipation,Hypoglycémie,Diarhée,B
125,Bases de pharmacologie,Un antibiotique est efficace contre :,Les virus,Les champignons,Les bactéries,Les allergies,C
126,Bases de pharmacologie,Le principe actif d’un médicament est :,Son goût,La substance qui agit sur l’organisme,Le nom commercial,Son emballage,B
127,Bases de pharmacologie,Quel organe est principalement impliqué dans la métabolisation des médicaments ?,Cœur,Estomac,Foie,Rein,C
128,Bases de pharmacologie,Une posologie désigne :,Un effet indésirable,Une voie d’administration,Une dose et une fréquence de prise,Un nom scientifique de médicament,C
129,Bases de pharmacologie,Que signifie la demi-vie d’un médicament ?,Durée pour que le médicament soit excrété complètement,Durée pour que sa concentration diminue de moitié,Temps entre deux doses,Temps d’apparition de l’effet thérapeutique,B
130,Bases de pharmacologie,Un anti-inflammatoire non stéroïdien (AINS) est :,La morphine,Le paracétamol,L’ibuprofène,Le diazépam,C
131,Bases de pharmacologie,Que désigne un médicament générique ?,Un médicament contre les infections,Une copie d’un médicament original,Un traitement personnalisé,Un médicament réservé à l’hôpital,B
132,Bases de pharmacologie,Quel médicament est un anxiolytique ?,Ibuprofène,Diazépam,Paracétamol,Amoxicilline,B
133,Bases de pharmacologie,Le surdosage en paracétamol peut entraîner :,Une perte de cheveux,Une insuffisance hépatique,Une bronchite,Une surdité,B
134,Bases de pharmacologie,Un médicament antihypertenseur a pour but de :,Augmenter la tension artérielle,Baisser la tension artérielle,Augmenter le rythme cardiaque,Soigner l’asthme,B
135,Bases de pharmacologie,L’aspirine est :,Un antibiotique,Un antihypertenseur,Un anticoagulant,Un hypolipémiant,C
136,Bases de pharmacologie,Les effets indésirables graves doivent être :,Ignorés,Notifiés et surveillés,Pris en automédication,Réglés avec des plantes médicinales,B
137,Bases de pharmacologie,L’adrénaline est utilisée en cas :,D’allergie grave,De migraine,D’anémie,De déshydratation,A
138,Bases de pharmacologie,Le médicament "placebo" contient :,Une faible dose de médicament,Une substance active,Une substance inactive,Un excipient actif,C
139,Bases de pharmacologie,Le rein intervient principalement dans :,La digestion,La filtration et l’excrétion des médicaments,La production des hormones digestives,La transformation du glucose,B
140,Bases de pharmacologie,Un médicament est contre-indiqué quand :,Il n’est pas efficace,Il est trop cher,Il présente un risque supérieur au bénéfice dans un contexte donné,Il est prescrit par deux médecins différents,C
141,Os du corps humain,Quel os est le plus long du corps humain ?,Radius,Humerus,Tibia,Fémur,D
142,Os du corps humain,Où se situe l'ulna ?,Poignet,Jambe,Cuisse,Avant-bras,D
143,Os du corps humain,Quel os protège le cœur ?,Clavicule,Sternum,Côtes,Scapula,B
144,Os du corps humain,Quel os est situé dans la cuisse ?,Tibia,Fibula,Fémur,Patella,C
145,Os du corps humain,Lequel de ces os est un os plat ?,Fémur,Phalange,Omoplate,Radius,C
146,Os du corps humain,Où se trouve le calcaneum ?,Main,Pied,Poignet,Jambe,B
147,Os du corps humain,Quel os s'articule avec l'humérus ?,Scapula,Radius,Ulna,Clavicule,A
148,Os du corps humain,Lequel est un os court ?,Tibia,Clavicule,Fémur,Carpe,D
149,Os du corps humain,Quel os forme la partie postérieure du crâne ?,Temporal,Frontal,Occipital,Pariétal,C
150,Os du corps humain,Quel os forme la partie antérieure du thorax ?,Clavicule,Omoplate,Sternum,Rib,C
151,Os du corps humain,Lequel de ces os n’appartient pas au bras ?,Radius,Humerus,Fibula,Ulna,C
152,Os du corps humain,Où se trouve le scapula ?,Poignet,Coude,Hanche,Épaule,D
153,Os du corps humain,Quel os protège le cerveau ?,Sternum,Omoplate,Crâne,Clavicule,C
154,Os du corps humain,Quels os composent la jambe ?,Patella,Fibula,Tibia,Fémur,C;D
155,Os du corps humain,Quels os forment la colonne vertébrale ?,Sacrum,Vertèbres thoraciques,Vertèbres cervicales,Clavicule,A;B;C
156,Os du corps humain,Quels sont les os du carpe ?,Trapèze,Hamatum,Scaphoïde,Lunatum,A;B;C;D
157,Os du corps humain,Quels os composent la face ?,Zygomatique,Mandibule,Maxillaire,Frontal,A;B;C;D
158,Os du corps humain,Quels os participent à la formation de la ceinture scapulaire ?,Humérus,Radius,Scapula,Clavicule,C;D
159,Os du corps humain,Quels os forment la main ?,Phalanges,Métacarpiens,Carpiens,Radius,A;B;C
160,Os du corps humain,Quel os s'articule avec l'humérus ?,Scapula,Radius,Ulna,Clavicule,A
161,Fonctionnement des cellules,Quelle organite est responsable de la synthèse des protéines ?,Appareil de Golgi,Lysosome,Ribosome,Mitochondrie,C
162,Fonctionnement des cellules,Quel composant cellulaire contrôle les échanges entre l'intérieur et l'extérieur de la cellule ?,Noyau,Cytoplasme,Membrane plasmique,Mitochondrie,C
163,Fonctionnement des cellules,Quel est le rôle du noyau cellulaire ?,Production d'énergie,Synthèse des lipides,Régulation des échanges,Stockage de l'ADN,D
164,Fonctionnement des cellules,Les lysosomes sont responsables de ?,Synthèse des protéines,Production d'énergie,Digestion intracellulaire,Stockage d'eau,C
165,Fonctionnement des cellules,Quel organite est impliqué dans la détoxification ?,Lysosome,Peroxysome,Mitochondrie,Ribosome,B
166,Fonctionnement des cellules,Quelles structures sont responsables de la division cellulaire ?,Mitochondries,Lysosomes,Ribosomes,Centrioles,D
167,Fonctionnement des cellules,Le cytosquelette est impliqué dans ?,Maintien de la forme cellulaire,Séparation des chromosomes,Mouvement cellulaire,Stockage d'énergie,A;C;B;D
168,Fonctionnement des cellules,Quel est le rôle de l'appareil de Golgi ?,Dégradation des déchets,Synthèse de l'ADN,Modification et tri des protéines,Production d'énergie,C
169,Fonctionnement des cellules,Les ribosomes peuvent être trouvés ?,Attachés au réticulum endoplasmique et libres dans le cytoplasme,Membrane plasmique,Noyau,Mitochondrie,A
170,Fonctionnement des cellules,Quelle est la principale différence entre cellule procaryote et eucaryote ?,Présence de mitochondries,Présence d'un noyau,Présence de ribosomes,Présence de membrane plasmique,B
171,Fonctionnement des cellules,Quelle molécule transporte l'information génétique ?,ARN,ADN,Protéines,Lipides,B
172,Fonctionnement des cellules,Quel type de transport nécessite de l'énergie ?,Diffusion simple,Osmose,Transport actif,Diffusion facilitée,C
173,Fonctionnement des cellules,La membrane plasmique est composée principalement de ?,Glucides,Lipides et protéines,Acides nucléiques,ADN,B
174,Fonctionnement des cellules,L'ADN est situé principalement dans ?,Le noyau,Le cytoplasme,La membrane plasmique,Mitochondrie,A
175,Fonctionnement des cellules,Quelle structure produit de l'ATP ?,Noyau,Mitochondrie,Ribosome,Lysosome,B
176,Fonctionnement des cellules,Le réticulum endoplasmique rugueux est associé à ?,La synthèse des lipides,La dégradation des déchets,La synthèse des protéines,La production d'énergie,C
177,Fonctionnement des cellules,La diffusion est un type de transport ?,Passif,Énergétique,Actif,Spécifique,A
178,Fonctionnement des cellules,Les cellules végétales possèdent ?,Des lysosomes,Une membrane nucléaire,Une paroi cellulaire,Des centrioles,C
179,Fonctionnement des cellules,Quel rôle joue l'ARN messager ?,Synthèse des lipides,Production d'énergie,Transfert de l'information génétique,Dégradation des déchets,C
180,Fonctionnement des cellules,Quelle est la fonction principale des mitochondries ?,Synthèse des protéines,Dégradation des déchets,Production d'énergie,Stockage de l'ADN,C
